1697966080.996559970;k1: 1.0
1697966080.997052309;k2: 5.0
1697966080.997491329;Max_linear: 10.0
1697966080.997983120;Max_angular: 10.0
1697966080.998498267;Target_distance: 1.0
time;side;closest_point_dist;relative_dist;angular_vel;linear_vel
1697966095.354331040;right;2.1111;-1.1111;5.2123;0.2000
1697966095.367237162;right;2.1068;-1.1068;5.1291;0.2000
1697966095.376831889;right;2.1026;-1.1026;5.1333;0.2000
1697966095.386861495;right;2.0986;-1.0986;5.1373;0.2000
1697966095.396189261;right;2.0947;-1.0947;5.1411;0.2000
1697966095.412258466;right;2.0910;-1.0910;5.1449;0.2000
1697966095.425449207;right;2.0872;-1.0872;5.0612;0.2000
1697966095.440683355;right;2.0836;-1.0836;5.0648;0.2000
1697966095.453253783;right;2.0802;-1.0802;4.9808;0.2008
1697966095.469879180;right;2.0767;-1.0767;4.9843;0.2006
1697966095.482876419;right;2.0735;-1.0735;4.9000;0.2041
1697966095.504549998;right;2.0703;-1.0703;4.9032;0.2039
1697966095.522564132;right;2.0672;-1.0672;4.8188;0.2075
1697966095.526622045;right;2.0643;-1.0643;4.7342;0.2112
1697966095.533394704;right;2.0614;-1.0614;4.7371;0.2111
1697966095.548145039;right;2.0587;-1.0587;4.6524;0.2149
1697966095.563874252;right;2.0560;-1.0560;4.5676;0.2189
1697966095.573245849;right;2.0535;-1.0535;4.4826;0.2231
1697966095.582085188;right;2.0511;-1.0511;4.3976;0.2274
1697966095.594089585;right;2.0488;-1.0488;4.3124;0.2319
1697966095.600718530;right;2.0466;-1.0466;4.2271;0.2366
1697966095.613493739;right;2.0446;-1.0446;4.1417;0.2414
1697966095.620848993;right;2.0427;-1.0427;4.0562;0.2465
1697966095.638088515;right;2.0407;-1.0407;3.8832;0.2575
1697966095.652383888;right;2.0387;-1.0387;3.7977;0.2633
1697966095.668089245;right;2.0367;-1.0367;3.7122;0.2694
1697966095.681049691;right;2.0347;-1.0347;3.6268;0.2757
1697966095.688213013;right;2.0326;-1.0326;3.5414;0.2824
1697966095.716803812;right;2.0305;-1.0305;3.4561;0.2893
1697966095.741486631;right;2.0283;-1.0283;3.3708;0.2967
1697966095.753627613;right;2.0259;-1.0259;3.2857;0.3043
1697966095.759636780;right;2.0237;-1.0237;3.2005;0.3124
1697966095.774787436;right;2.0217;-1.0217;3.1150;0.3210
1697966095.799505475;right;2.0196;-1.0196;3.0297;0.3301
1697966095.802535710;right;2.0171;-1.0171;2.9447;0.3396
1697966095.807840342;right;2.0151;-1.0151;2.8593;0.3497
1697966095.820589429;right;2.0128;-1.0128;2.7740;0.3605
1697966095.827533460;right;2.0105;-1.0105;2.7764;0.3602
1697966095.836782167;right;2.0081;-1.0081;2.6913;0.3716
1697966095.851890585;right;2.0057;-1.0057;2.6063;0.3837
1697966095.874712949;right;2.0033;-1.0033;2.5212;0.3966
1697966095.885426579;right;2.0009;-1.0009;2.5236;0.3963
1697966095.894763153;right;1.9984;-0.9984;2.4386;0.4101
1697966095.901857795;right;1.9959;-0.9959;2.3536;0.4249
1697966095.908597030;right;1.9935;-0.9935;2.2686;0.4408
1697966095.916477891;right;1.9909;-0.9909;2.2712;0.4403
1697966095.938321170;right;1.9883;-0.9883;2.1863;0.4574
1697966095.968993831;right;1.9858;-0.9858;2.1014;0.4759
1697966095.973119522;right;1.9831;-0.9831;2.1040;0.4753
1697966095.980010803;right;1.9806;-0.9806;2.0191;0.4953
1697966095.986594551;right;1.9781;-0.9781;2.0216;0.4946
1697966096.003423178;right;1.9755;-0.9755;1.9367;0.5163
1697966096.020939605;right;1.9729;-0.9729;1.8518;0.5400
1697966096.029110960;right;1.9702;-0.9702;1.8545;0.5392
1697966096.044627796;right;1.9675;-0.9675;1.7698;0.5650
1697966096.051650687;right;1.9648;-0.9648;1.7725;0.5641
1697966096.066912272;right;1.9620;-0.9620;1.6878;0.5924
1697966096.090322272;right;1.9592;-0.9592;1.6906;0.5915
1697966096.100350099;right;1.9563;-0.9563;1.6060;0.6226
1697966096.107487868;right;1.9534;-0.9534;1.6089;0.6215
1697966096.120459507;right;1.9506;-0.9506;1.5243;0.6560
1697966096.126821894;right;1.9476;-0.9476;1.5273;0.6547
1697966096.138037395;right;1.9447;-0.9447;1.4427;0.6931
1697966096.156023500;right;1.9417;-0.9417;1.4457;0.6917
1697966096.170274041;right;1.9388;-0.9388;1.4486;0.6903
1697966096.180737801;right;1.9356;-0.9356;1.3643;0.7329
1697966096.188461921;right;1.9326;-0.9326;1.3673;0.7313
1697966096.197324412;right;1.9296;-0.9296;1.2829;0.7794
1697966096.214081718;right;1.9265;-0.9265;1.2860;0.7776
1697966096.240022472;right;1.9235;-0.9235;1.2015;0.8322
1697966096.248644286;right;1.9203;-0.9203;1.2047;0.8300
1697966096.257211976;right;1.9171;-0.9171;1.2079;0.8278
1697966096.269278274;right;1.9139;-0.9139;1.1237;0.8899
1697966096.292698714;right;1.9106;-0.9106;1.1269;0.8873
1697966096.308571490;right;1.9075;-0.9075;1.1301;0.8848
1697966096.319175515;right;1.9041;-0.9041;1.0459;0.9560
1697966096.331461389;right;1.9009;-0.9009;1.0492;0.9530
1697966096.345900230;right;1.8976;-0.8976;0.9650;1.0000
1697966096.370469505;right;1.8942;-0.8942;0.9684;1.0000
1697966096.377893472;right;1.8909;-0.8909;0.9717;1.0000
1697966096.391232990;right;1.8875;-0.8875;0.8876;1.0000
1697966096.397839983;right;1.8841;-0.8841;0.8910;1.0000
1697966096.420070877;right;1.8807;-0.8807;0.8944;1.0000
1697966096.426381724;right;1.8770;-0.8770;0.8106;1.0000
1697966096.433668274;right;1.8740;-0.8740;0.8137;1.0000
1697966096.444304878;right;1.8707;-0.8707;0.8170;1.0000
1697966096.456170603;right;1.8675;-0.8675;0.8202;1.0000
1697966096.462628140;right;1.8643;-0.8643;0.8234;1.0000
1697966096.489130252;right;1.8611;-0.8611;0.7391;1.0000
1697966096.496717839;right;1.8580;-0.8580;0.7422;1.0000
1697966096.509522199;right;1.8549;-0.8549;0.7453;1.0000
1697966096.520802906;right;1.8519;-0.8519;0.7483;1.0000
1697966096.526624440;right;1.8489;-0.8489;0.6639;1.0000
1697966096.540020435;right;1.8459;-0.8459;0.6669;1.0000
1697966096.549553696;right;1.8429;-0.8429;0.6699;1.0000
1697966096.562143152;right;1.8400;-0.8400;0.6728;1.0000
1697966096.569463834;right;1.8371;-0.8371;0.6756;1.0000
1697966096.576677963;right;1.8343;-0.8343;0.5910;1.0000
1697966096.589529270;right;1.8314;-0.8314;0.5938;1.0000
1697966096.595938696;right;1.8286;-0.8286;0.5966;1.0000
1697966096.635311482;right;1.8251;-0.8251;0.6002;1.0000
1697966096.648388158;right;1.8226;-0.8226;0.6027;1.0000
1697966096.658295190;right;1.8200;-0.8200;0.6053;1.0000
1697966096.664241144;right;1.8173;-0.8173;0.5205;1.0000
1697966096.671817732;right;1.8146;-0.8146;0.5232;1.0000
1697966096.682852338;right;1.8120;-0.8120;0.5258;1.0000
1697966096.697454659;right;1.8094;-0.8094;0.5284;1.0000
1697966096.713274589;right;1.8066;-0.8066;0.5312;1.0000
1697966096.728951992;right;1.8041;-0.8041;0.5337;1.0000
1697966096.736763767;right;1.8016;-0.8016;0.4488;1.0000
1697966096.744078732;right;1.7991;-0.7991;0.4513;1.0000
1697966096.757291698;right;1.7966;-0.7966;0.4537;1.0000
1697966096.773311328;right;1.7942;-0.7942;0.4562;1.0000
1697966096.787762428;right;1.7918;-0.7918;0.4586;1.0000
1697966096.795570584;right;1.7894;-0.7894;0.4610;1.0000
1697966096.804132324;right;1.7870;-0.7870;0.4633;1.0000
1697966096.812000951;right;1.7847;-0.7847;0.3782;1.0000
1697966096.832752307;right;1.7821;-0.7821;0.3808;1.0000
1697966096.842640162;right;1.7796;-0.7796;0.3833;1.0000
1697966096.852287061;right;1.7772;-0.7772;0.3856;1.0000
1697966096.861653888;right;1.7750;-0.7750;0.3879;1.0000
1697966096.871367326;right;1.7727;-0.7727;0.3902;1.0000
1697966096.880294750;right;1.7705;-0.7705;0.3924;1.0000
1697966096.899313886;right;1.7683;-0.7683;0.3946;1.0000
1697966096.907280900;right;1.7661;-0.7661;0.3968;1.0000
1697966096.921946674;right;1.7639;-0.7639;0.3115;1.0000
1697966096.929835260;right;1.7618;-0.7618;0.3137;1.0000
1697966096.938223570;right;1.7596;-0.7596;0.3158;1.0000
1697966096.949343327;right;1.7574;-0.7574;0.3180;1.0000
1697966096.964296346;right;1.7553;-0.7553;0.3201;1.0000
1697966096.978434506;right;1.7532;-0.7532;0.3222;1.0000
1697966096.990792387;right;1.7511;-0.7511;0.3243;1.0000
1697966097.003700727;right;1.7491;-0.7491;0.3264;1.0000
1697966097.013178261;right;1.7470;-0.7470;0.3284;1.0000
1697966097.025261185;right;1.7450;-0.7450;0.3304;1.0000
1697966097.048698740;right;1.7430;-0.7430;0.3325;1.0000
1697966097.069348741;right;1.7406;-0.7406;0.2474;1.0000
1697966097.076882554;right;1.7388;-0.7388;0.2492;1.0000
1697966097.086599723;right;1.7368;-0.7368;0.2512;1.0000
1697966097.097189482;right;1.7348;-0.7348;0.2532;1.0000
1697966097.107730445;right;1.7328;-0.7328;0.2551;1.0000
1697966097.125434196;right;1.7309;-0.7309;0.2571;1.0000
1697966097.137514132;right;1.7289;-0.7289;0.2590;1.0000
1697966097.146272749;right;1.7270;-0.7270;0.2610;1.0000
1697966097.162568545;right;1.7251;-0.7251;0.2629;1.0000
1697966097.181901080;right;1.7232;-0.7232;0.2648;1.0000
1697966097.196932799;right;1.7213;-0.7213;0.2666;1.0000
1697966097.203378739;right;1.7195;-0.7195;0.2685;1.0000
1697966097.217901508;right;1.7176;-0.7176;0.2703;1.0000
1697966097.227738264;right;1.7158;-0.7158;0.2722;1.0000
1697966097.243277101;right;1.7139;-0.7139;0.1866;1.0000
1697966097.250713595;right;1.7121;-0.7121;0.1884;1.0000
1697966097.261805768;right;1.7103;-0.7103;0.1902;1.0000
1697966097.269383006;right;1.7085;-0.7085;0.1920;1.0000
1697966097.280993888;right;1.7067;-0.7067;0.1938;1.0000
1697966097.290143903;right;1.7049;-0.7049;0.1956;1.0000
1697966097.307052028;right;1.7031;-0.7031;0.1974;1.0000
1697966097.313419928;right;1.7013;-0.7013;0.1992;1.0000
1697966097.326332305;right;1.6996;-0.6996;0.2009;1.0000
1697966097.333834556;right;1.6978;-0.6978;0.2027;1.0000
1697966097.348458676;right;1.6961;-0.6961;0.2044;1.0000
1697966097.355786979;right;1.6944;-0.6944;0.2061;1.0000
1697966097.375261066;right;1.6926;-0.6926;0.2079;1.0000
1697966097.377288700;right;1.6909;-0.6909;0.2096;1.0000
1697966097.381962903;right;1.6892;-0.6892;0.2113;1.0000
1697966097.394013777;right;1.6876;-0.6876;0.2129;1.0000
1697966097.402218157;right;1.6859;-0.6859;0.2146;1.0000
1697966097.414600664;right;1.6842;-0.6842;0.1288;1.0000
1697966097.427513163;right;1.6825;-0.6825;0.1305;1.0000
1697966097.445765674;right;1.6809;-0.6809;0.1321;1.0000
1697966097.458503392;right;1.6792;-0.6792;0.1338;1.0000
